site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Mattheis,2019,1,-7.233322581,-13.59216129,-0.874483871,4.281,4.281
Mattheis,2019,2,-22.29941071,-28.88321429,-15.71560714,20.7,20.7
Mattheis,2019,3,-5.170822581,-13.62822581,3.286580645,2.9,2.9
Mattheis,2019,4,5.238416667,-3.433066667,13.9099,15.2,15.2
Mattheis,2019,5,9.515596774,1.159580645,17.8716129,8.8,4.84
Mattheis,2019,6,15.22178333,6.939233333,23.50433333,41.5,22.825
Mattheis,2019,7,17.41246774,9.07816129,25.74677419,40.1,22.055
Mattheis,2019,8,16.49454839,8.768129032,24.22096774,39.8,21.89
Mattheis,2019,9,11.57895,4.529033333,18.62886667,42.3,23.265
Mattheis,2019,10,1.171548387,-6.690645161,9.033741935,5.6,5.6
Mattheis,2019,11,-4.900866667,-10.61296667,0.811233333,22.2,22.2
Mattheis,2019,12,-9.019064516,-14.37867742,-3.659451613,8.8,8.8
Onefour,2016,1,-7.871241935,-12.68419355,-3.058290323,4,4
Onefour,2016,2,0.559965517,-5.537241379,6.657172414,6.4,6.4
Onefour,2016,3,3.329580645,-3.946451613,10.6056129,8.3,8.3
Onefour,2016,4,7.7677,0.561,14.9744,58.3,58.3
Onefour,2016,5,10.66280645,4.102580645,17.22303226,46,25.3
Onefour,2016,6,16.6745,8.463,24.886,44.5,24.475
Onefour,2016,7,18.98532258,11.37516129,26.59548387,16.9,9.295
Onefour,2016,8,18.32419355,10.49032258,26.15806452,32.4,17.82
Onefour,2016,9,12.73466667,4.904,20.56533333,35.5,19.525
Onefour,2016,10,4.405548387,-1.034516129,9.845612903,72,72
Onefour,2016,11,3.906066667,-2.305,10.11713333,1.4,1.4
Onefour,2016,12,-11.32414516,-16.13709677,-6.511193548,13.1,13.1
Onefour,2017,1,-10.04014516,-15.12258065,-4.957709677,8.7,8.7
Onefour,2017,2,-5.409767857,-10.39321429,-0.426321429,15.7,15.7
Onefour,2017,3,-0.661467742,-6.621612903,5.298677419,7.6,7.6
Onefour,2017,4,6.15315,-0.285666667,12.59196667,28.1,28.1
Onefour,2017,5,12.33854839,4.078387097,20.59870968,29.2,16.06
Onefour,2017,6,16.29083333,8.351,24.23066667,48,26.4
Onefour,2017,7,22.60548387,13.10064516,32.11032258,3.7,2.035
Onefour,2017,8,19.30387097,10.72451613,27.88322581,9.2,5.06
Onefour,2017,9,13.59893333,5.743666667,21.4542,12.9,7.095
Onefour,2017,10,5.074370968,-2.241612903,12.39035484,7.8,7.8
Onefour,2017,11,-3.994,-9.401333333,1.413333333,10.2,10.2
Onefour,2017,12,-7.967741935,-13.05806452,-2.877419355,21.5,21.5
Onefour,2018,1,-10.9516129,-16.49032258,-5.412903226,1.8,1.8
Onefour,2018,2,-17.06071429,-23.375,-10.74642857,21.9,21.9
Onefour,2018,3,-7.196774194,-11.27096774,-3.122580645,16.3,16.3
Onefour,2018,4,0.663333333,-5.166666667,6.493333333,11.9,11.9
Onefour,2018,5,14.76612903,7.116129032,22.41612903,39.3,21.615
Onefour,2018,6,16.09833333,8.993333333,23.20333333,56.8,31.24
Onefour,2018,7,20.25322581,11.23870968,29.26774194,5.8,3.19
Onefour,2018,8,18.68709677,9.622580645,27.7516129,9.4,5.17
Onefour,2018,9,10.72333333,4.18,17.26666667,22.2,12.21
Onefour,2018,10,5.55,-1.390322581,12.49032258,10,10
Onefour,2018,11,-2.045,-8.106666667,4.016666667,14.8,14.8
Onefour,2018,12,-4.95483871,-10.44193548,0.532258065,3.6,3.6
Onefour,2019,1,-4.782258065,-10.96129032,1.396774194,8.8,8.8
Onefour,2019,2,-21.28571429,-25.81071429,-16.76071429,16.1,16.1
Onefour,2019,3,-4.49516129,-11.01290323,2.022580645,8.3,8.3
Onefour,2019,4,6.09,-1.02,13.2,2.7,2.7
Onefour,2019,5,9.648387097,2.677419355,16.61935484,32.1,17.655
Onefour,2019,6,15.95666667,8.07,23.84333333,22.5,12.375
Onefour,2019,7,19.36290323,10.46129032,28.26451613,11.7,6.435
Onefour,2019,8,18.41451613,10.80645161,26.02258065,32.3,17.765
Onefour,2019,9,12.55833333,5.926666667,19.19,54.5,29.975
Onefour,2019,10,1.912903226,-4.803225806,8.629032258,4.4,4.4
Onefour,2019,11,-4.654,-10.00666667,0.698666667,36.7,36.7
Onefour,2019,12,-6.564516129,-11.41290323,-1.716129032,12.6,12.6
Oyen,2016,1,-10.48646774,-15.587,-5.385935484,7.066666667,7.066666667
Oyen,2016,2,-4.421344828,-9.262,0.419310345,7.7,7.7
Oyen,2016,3,1.661268817,-4.119634409,7.442172043,7.6,7.6
Oyen,2016,4,7.501538889,-0.478911111,15.48198889,31.23666667,31.23666667
Oyen,2016,5,11.69065054,4.732913978,18.6483871,68.8,37.84
Oyen,2016,6,16.08282778,8.919988889,23.24566667,71.06666667,39.08666667
Oyen,2016,7,17.82696237,11.48005376,24.17387097,83.6,45.98
Oyen,2016,8,16.23041935,9.553204301,22.90763441,64.73333333,35.60333333
Oyen,2016,9,11.27970556,3.951855556,18.60755556,18.23333333,10.02833333
Oyen,2016,10,2.799333333,-1.766354839,7.365021505,18.66666667,18.66666667
Oyen,2016,11,1.9988,-3.464266667,7.461866667,2.7,2.7
Oyen,2016,12,-13.2327957,-18.12803226,-8.33755914,5.6,5.6
Oyen,2017,1,-10.71512903,-15.75570968,-5.674548387,5.033333333,5.033333333
Oyen,2017,2,-8.220785714,-13.29254762,-3.14902381,11.93333333,11.93333333
Oyen,2017,3,-3.621010753,-9.799365591,2.557344086,10.1,10.1
Oyen,2017,4,3.812161111,-2.561922222,10.18624444,22.9,22.9
Oyen,2017,5,12.4508871,4.537795699,20.36397849,31.13333333,17.12333333
Oyen,2017,6,15.39586111,8.087722222,22.704,53.56666667,29.46166667
Oyen,2017,7,19.57834409,10.43615054,28.72053763,16.73333333,9.203333333
Oyen,2017,8,17.71166667,9.314946237,26.1083871,29.26666667,16.09666667
Oyen,2017,9,12.25009444,4.249355556,20.25083333,16.26666667,8.946666667
Oyen,2017,10,4.65583871,-2.006784946,11.31846237,40.76666667,40.76666667
Oyen,2017,11,-8.03695,-13.21604444,-2.857855556,16.83333333,16.83333333
