site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Mattheis,3.1,2018,3,39,-5.9,-16.1,-11,39
Oyen,2.7,2018,3,20,-5.3,-13.8,-9.6,20
Twinriver,4.5,2018,3,33,0.1,-10.5,-5.2,33
Kinsella,2.1,2018,3,26,-6.7,-13.8,-10.3,26
Stavely,3.4,2018,3,82,-2.6,-13.1,-7.9,82
Sangudo,2.7,2018,3,59,-5.7,-12.8,-9.2,59
Onefour,3.6,2019,3,8,1.9,-12,-5,8
Mattheis,2.7,2019,3,4,1.7,-12.5,-5.4,4
Oyen,2.3,2019,3,2,1.9,-11.2,-4.7,2
Twinriver,3.6,2019,3,7,3.2,-10.2,-3.5,7
Kinsella,1.6,2019,3,3,-0.4,-11.2,-5.8,3
Stavely,2.6,2019,3,10,3.8,-10.4,-3.3,10
Sangudo,2.1,2019,3,11,3.1,-10.5,-3.7,11
Onefour,5.4,1901,4,33,14.2,-1.7,6.2,33
Mattheis,4.1,1901,4,12,13.2,-2.2,5.5,12
Oyen,3.3,1901,4,15,12.9,-1.9,5.5,15
Twinriver,5,1901,4,18,12.3,-3.2,4.5,18
Kinsella,2.4,1901,4,27,10.6,-2.1,4.2,27
Stavely,3.6,1901,4,32,9.3,-3.8,2.7,32
Sangudo,2.5,1901,4,30,10.6,-2.8,3.9,30
Onefour,4.4,1902,4,8,12.3,-2.5,4.9,8
Mattheis,3.3,1902,4,10,12.5,-2.5,5,10
Oyen,2.6,1902,4,15,11.6,-2.6,4.5,15
Twinriver,4.1,1902,4,4,11.6,-3.2,4.2,4
Kinsella,1.7,1902,4,18,10.2,-2.8,3.7,18
Stavely,2.8,1902,4,37,9.7,-4,2.9,37
Sangudo,2,1902,4,19,11,-3.4,3.8,19
Onefour,4.7,1903,4,23,12.3,-1.5,5.4,23
Mattheis,3.5,1903,4,13,12.1,-2.8,4.6,13
Oyen,2.5,1903,4,22,11.4,-3,4.2,22
Twinriver,4.4,1903,4,20,11,-2.6,4.2,20
Kinsella,1.8,1903,4,30,9.7,-3.4,3.1,30
Stavely,3,1903,4,19,8.9,-3.9,2.5,19
Sangudo,1.9,1903,4,33,10,-4.1,2.9,33
Onefour,4.7,1904,4,14,13.6,-1.4,6.1,14
Mattheis,3.3,1904,4,13,13.9,-1.1,6.4,13
Oyen,2.3,1904,4,12,12.2,-1.9,5.2,12
Twinriver,4.6,1904,4,11,13.5,-2,5.7,11
Kinsella,1.3,1904,4,10,11.3,-1.8,4.8,10
Stavely,3.1,1904,4,28,11.8,-2.1,4.9,28
Sangudo,1.7,1904,4,13,12.2,-1.7,5.3,13
Onefour,5.4,1905,4,19,13.9,-1.7,6.1,19
Mattheis,4.1,1905,4,13,14.2,-2.5,5.9,13
Oyen,3.2,1905,4,17,13.6,-2.9,5.4,17
Twinriver,5,1905,4,18,11.8,-2.3,4.8,18
Kinsella,2.4,1905,4,19,12.4,-3.4,4.5,19
Stavely,3.6,1905,4,32,10.6,-3.6,3.5,32
Sangudo,2.9,1905,4,2,13.6,-3.2,5.2,2
Onefour,5.5,1906,4,6,16.7,0.5,8.6,6
Mattheis,4.1,1906,4,12,16.9,-0.5,8.2,12
Oyen,3.1,1906,4,20,16,-0.3,7.8,20
Twinriver,5,1906,4,10,15.4,-0.8,7.3,10
Kinsella,2.1,1906,4,40,14.7,-0.1,7.3,40
Stavely,3.8,1906,4,29,13.8,-2.2,5.8,29
Sangudo,2.8,1906,4,2,14.7,-0.6,7.1,2
Onefour,3.3,1907,4,32,7.9,-3.6,2.2,32
Mattheis,1.9,1907,4,11,8.2,-4.8,1.7,11
Oyen,0.9,1907,4,13,6.4,-6,0.2,13
Twinriver,3.4,1907,4,35,8,-4,2,35
Kinsella,-0.1,1907,4,12,4.4,-7.1,-1.4,12
Stavely,2.3,1907,4,46,7,-4.9,1,46
Sangudo,1.1,1907,4,12,7.1,-5.7,0.7,12
Onefour,5.6,1908,4,15,14.9,-0.5,7.2,15
Mattheis,4.3,1908,4,12,14.8,-1.5,6.7,12
Oyen,3.2,1908,4,12,13,-2.1,5.5,12
Twinriver,5,1908,4,16,13.4,-1.8,5.8,16
Kinsella,1.9,1908,4,8,10.5,-2.8,3.8,8
Stavely,3.8,1908,4,35,11.9,-2.3,4.8,35
Sangudo,2.3,1908,4,12,11.4,-3.3,4,12
Onefour,3.8,1909,4,26,7.7,-5.6,1.1,26
Mattheis,2.4,1909,4,14,8,-6.3,0.8,14
Oyen,1.6,1909,4,13,6.9,-6.3,0.3,13
Twinriver,3.5,1909,4,37,7,-6.4,0.3,37
Kinsella,0.2,1909,4,19,4.8,-7.2,-1.2,19
Stavely,1.8,1909,4,64,4.8,-7.1,-1.1,64
Sangudo,0.4,1909,4,32,6,-7.5,-0.7,32
Onefour,6.2,1910,4,13,18.8,2.2,10.5,13
Mattheis,4.6,1910,4,2,17.7,0.4,9,2
Oyen,3.3,1910,4,4,16.7,-0.7,8,4
Twinriver,6,1910,4,6,17.1,1.1,9.1,6
Kinsella,2.2,1910,4,2,14.6,-1.5,6.5,2
Stavely,4.5,1910,4,19,14.9,-0.3,7.3,19
Sangudo,2.4,1910,4,23,14.4,-2.4,6,23
Onefour,3.3,1911,4,24,11.1,-3.3,3.9,24
Mattheis,2.1,1911,4,19,10.8,-4,3.4,19
Oyen,0.9,1911,4,19,10.6,-4.3,3.1,19
Twinriver,3,1911,4,22,9.7,-4.3,2.7,22
Kinsella,0.1,1911,4,16,9.4,-5.2,2.1,16
Stavely,1.9,1911,4,35,8.5,-5,1.7,35
Sangudo,1.3,1911,4,17,10.3,-5.3,2.5,17
Onefour,4.5,1912,4,26,13.9,-0.2,6.9,26
Mattheis,3.5,1912,4,20,14.2,-0.8,6.7,20
Oyen,2.3,1912,4,11,14,-1.7,6.2,11
Twinriver,4.3,1912,4,15,12.5,-1.4,5.6,15
Kinsella,1.7,1912,4,15,12.5,-2.3,5.1,15
Stavely,3.2,1912,4,51,10.8,-2.2,4.3,51
Sangudo,2.7,1912,4,32,12.6,-1.8,5.4,32
Onefour,4.4,1913,4,23,15.2,-0.9,7.1,23
Mattheis,3.1,1913,4,7,15.2,-1.7,6.7,7
Oyen,2.2,1913,4,11,14.9,-1.5,6.7,11
Twinriver,4,1913,4,11,13.5,-2,5.7,11
Kinsella,1.5,1913,4,15,12.9,-1.5,5.7,15
Stavely,2.5,1913,4,15,11.8,-2.9,4.4,15
Sangudo,1.8,1913,4,22,12.8,-2.6,5.1,22
Onefour,4.9,1914,4,4,13.6,-0.8,6.4,4
Mattheis,3.3,1914,4,9,13.3,-1.4,6,9
Oyen,2.5,1914,4,16,12.5,-2.3,5.1,16
Twinriver,4.5,1914,4,22,12.3,-1.6,5.3,22
Kinsella,1.6,1914,4,28,11.2,-3.1,4,28
Stavely,3.1,1914,4,41,10.3,-2.4,4,41
Sangudo,1.8,1914,4,11,11.8,-4.1,3.8,11
Onefour,4.9,1915,4,6,18.8,2.7,10.8,6
Mattheis,4,1915,4,7,17.8,1.1,9.5,7
Oyen,2.9,1915,4,11,17.4,0.8,9.1,11
Twinriver,5,1915,4,12,16.8,1.7,9.3,12
Kinsella,2.4,1915,4,25,15.9,0.2,8,25
Stavely,3.9,1915,4,20,15.1,-0.3,7.4,20
Sangudo,2.9,1915,4,32,16.2,-0.3,7.9,32
Onefour,2.3,1916,4,12,13.6,-2.5,5.6,12
Mattheis,1.7,1916,4,9,13.7,-2,5.9,9
Oyen,0.7,1916,4,17,12.8,-2.4,5.2,17
Twinriver,2.2,1916,4,6,12.4,-2.4,5,6
Kinsella,0,1916,4,31,11,-2.3,4.3,31
Stavely,1.1,1916,4,37,10.6,-2.6,4,37
Sangudo,0.5,1916,4,20,11.9,-2.4,4.8,20
Onefour,3.2,1917,4,29,8.8,-2.9,2.9,29
Mattheis,2.1,1917,4,12,9.3,-3.7,2.8,12
Oyen,1,1917,4,14,8.1,-4.2,1.9,14
Twinriver,3.3,1917,4,35,7.3,-3.8,1.8,35
Kinsella,0.1,1917,4,18,6,-5,0.5,18
Stavely,2,1917,4,51,5.5,-4.8,0.3,51
Sangudo,0.4,1917,4,27,7.5,-4.9,1.3,27
Onefour,5,1918,4,12,12.6,-2.3,5.2,12
Mattheis,3.6,1918,4,9,13.3,-2.8,5.3,9
Oyen,2.5,1918,4,14,13.4,-3.4,5,14
Twinriver,4.8,1918,4,13,11.4,-3,4.2,13
Kinsella,1.8,1918,4,16,12.8,-3.6,4.6,16
Stavely,3.6,1918,4,20,10.6,-4.1,3.2,20
Sangudo,2,1918,4,16,12.7,-3.9,4.4,16
Onefour,4.3,1919,4,20,14.5,0.2,7.3,20
Mattheis,2.6,1919,4,42,13.8,-0.4,6.7,42
Oyen,1.5,1919,4,43,13.4,-1.1,6.1,43
Twinriver,4,1919,4,7,13.7,-0.5,6.6,7
Kinsella,0.7,1919,4,29,13.2,-1.3,6,29
Stavely,2.6,1919,4,21,11.3,-1.6,4.9,21
Sangudo,0.9,1919,4,21,13.6,-2.4,5.6,21
Onefour,4.8,1920,4,48,6.3,-4.6,0.9,48
Mattheis,3.2,1920,4,26,5.2,-5.5,-0.1,26
Oyen,2.3,1920,4,18,4.8,-6.3,-0.7,18
Twinriver,4.4,1920,4,48,4.3,-5.7,-0.7,48
Kinsella,1.2,1920,4,17,3.1,-7.5,-2.2,17
Stavely,2.8,1920,4,113,2.5,-7.2,-2.4,113
Sangudo,1.7,1920,4,43,4.4,-7.5,-1.6,43
Onefour,5.3,1921,4,33,11.3,-1.6,4.9,33
Mattheis,3.4,1921,4,33,11,-2.4,4.3,33
Oyen,2.4,1921,4,41,9.5,-3.3,3.1,41
Twinriver,4.8,1921,4,24,10.1,-2,4,24
Kinsella,1.4,1921,4,26,8.8,-3.3,2.7,26
Stavely,3.2,1921,4,63,8.8,-3.2,2.8,63
Sangudo,2.2,1921,4,21,11.6,-2.7,4.4,21
Onefour,3.7,1922,4,47,9.7,-1,4.3,47
Mattheis,2.7,1922,4,31,9.6,-1.7,4,31
Oyen,2,1922,4,21,10.7,-1.9,4.4,21
Twinriver,3.6,1922,4,62,8,-2.4,2.8,62
Kinsella,1.1,1922,4,17,10.5,-3.2,3.6,17
Stavely,2.2,1922,4,92,5.9,-3.8,1,92
Sangudo,1.6,1922,4,20,10.2,-3.5,3.3,20
Onefour,5,1923,4,21,11.7,-2,4.8,21
Mattheis,4.3,1923,4,10,11.9,-2.7,4.6,10
Oyen,3.3,1923,4,9,11.8,-3.3,4.2,9
Twinriver,5,1923,4,24,10.5,-2.6,4,24
Kinsella,2.3,1923,4,8,10.4,-4.3,3.1,8
Stavely,3.5,1923,4,53,9.1,-4.5,2.3,53
Sangudo,2.8,1923,4,10,11.9,-4.9,3.5,10
Onefour,4,1924,4,19,11.2,-1.7,4.8,19
Mattheis,3.3,1924,4,17,10.4,-3.1,3.7,17
Oyen,2.4,1924,4,17,8.9,-3.8,2.6,17
Twinriver,3.9,1924,4,15,10.2,-2.3,3.9,15
Kinsella,1.3,1924,4,27,7,-4.7,1.2,27
Stavely,2.6,1924,4,41,8.7,-4.1,2.3,41
Sangudo,1.7,1924,4,30,9.1,-4.8,2.2,30
Onefour,5,1925,4,81,13.5,0.8,7.2,81
Mattheis,3.5,1925,4,45,13.6,0.3,6.9,45
Oyen,2.6,1925,4,49,13.2,-0.2,6.5,49
Twinriver,4.9,1925,4,58,12.3,-0.4,6,58
Kinsella,1.6,1925,4,50,11.7,-0.9,5.4,50
Stavely,3.5,1925,4,34,11.3,-2,4.6,34
Sangudo,1.9,1925,4,13,12.1,-1.7,5.2,13
Onefour,5.6,1926,4,12,15.6,-1.2,7.2,12
Mattheis,4.1,1926,4,7,14.6,-1.1,6.8,7
Oyen,2.8,1926,4,7,13.8,-2.2,5.8,7
Twinriver,5.6,1926,4,9,13.6,-1.2,6.2,9
Kinsella,1.9,1926,4,8,12.4,-2.7,4.9,8
Stavely,4,1926,4,24,12,-2.5,4.7,24
Sangudo,2.9,1926,4,11,14,-2.2,5.9,11
Onefour,2.7,1927,4,28,10.4,-2.5,4,28
Mattheis,1.6,1927,4,30,10.4,-3,3.7,30
Oyen,0.8,1927,4,42,9.7,-3.1,3.3,42
Twinriver,2.7,1927,4,26,8.9,-3.5,2.7,26
Kinsella,-0.1,1927,4,35,7.6,-4.2,1.7,35
Stavely,1.5,1927,4,22,8.3,-4.7,1.8,22
Sangudo,0.2,1927,4,25,8.3,-5.6,1.4,25
Onefour,5,1928,4,14,10.4,-3.3,3.5,14
Mattheis,4.7,1928,4,18,9.4,-3.6,2.9,18
Oyen,3.5,1928,4,19,8.2,-4,2.1,19
Twinriver,5,1928,4,16,8.9,-4.1,2.4,16
Kinsella,2.8,1928,4,21,6,-5,0.5,21
Stavely,4,1928,4,34,7.1,-5.4,0.9,34
Sangudo,3,1928,4,23,6.8,-5.3,0.7,23
Onefour,3.4,1929,4,45,9.5,-4.5,2.5,45
Mattheis,3,1929,4,30,9.9,-4.9,2.5,30
Oyen,2,1929,4,25,9.2,-5,2.1,25
Twinriver,3.3,1929,4,37,7.8,-4.9,1.5,37
Kinsella,1.3,1929,4,30,7.3,-4.4,1.5,30
Stavely,2.4,1929,4,66,7,-5.7,0.6,66
Sangudo,1.7,1929,4,31,8.7,-5.2,1.7,31
Onefour,5.3,1930,4,33,17,1.1,9.1,33
Mattheis,4.8,1930,4,33,15.5,-0.3,7.6,33
Oyen,3.8,1930,4,40,15.1,-0.9,7.1,40
Twinriver,5.3,1930,4,35,15.2,0.6,7.9,35
Kinsella,2.8,1930,4,30,12.9,-1.5,5.7,30
Stavely,3.9,1930,4,56,12.7,-0.8,5.9,56
Sangudo,2.9,1930,4,14,13.1,-2,5.6,14
Onefour,6.5,1931,4,16,14.2,-1.9,6.1,16
Mattheis,5.6,1931,4,5,14.9,-2.2,6.3,5
Oyen,4.7,1931,4,6,14.7,-2.7,6,6
Twinriver,6.3,1931,4,12,12.2,-2.3,4.9,12
Kinsella,3.6,1931,4,4,13.1,-2.5,5.3,4
Stavely,5,1931,4,28,11.3,-3.2,4.1,28
Sangudo,3.3,1931,4,10,13.6,-3.1,5.3,10
Onefour,4.4,1932,4,44,13.6,0.6,7.1,44
Mattheis,3.3,1932,4,54,13.4,0.2,6.8,54
Oyen,2.2,1932,4,41,12.6,-0.2,6.2,41
Twinriver,4.3,1932,4,49,11.8,-0.4,5.7,49
Kinsella,1.3,1932,4,46,10.3,-0.8,4.7,46
Stavely,3,1932,4,84,10.3,-1.4,4.5,84
Sangudo,1.3,1932,4,62,10.8,-1.3,4.8,62
Onefour,4.7,1933,4,45,10,-2.6,3.7,45
Mattheis,3.3,1933,4,27,10.1,-2.7,3.7,27
Oyen,2.3,1933,4,20,10.2,-2.7,3.7,20
Twinriver,4.3,1933,4,47,8.4,-3.6,2.4,47
Kinsella,0.6,1933,4,22,8.3,-3.3,2.5,22
Stavely,3,1933,4,66,7.4,-4.5,1.4,66
Sangudo,0.6,1933,4,18,9,-4,2.5,18
Onefour,6.4,1934,4,11,16.6,0.1,8.4,11
Mattheis,5.1,1934,4,8,16.3,-0.2,8.1,8
Oyen,3.9,1934,4,11,14.9,-0.7,7.1,11
Twinriver,6.3,1934,4,5,15.7,0.2,8,5
Kinsella,2.8,1934,4,28,13.1,-0.5,6.3,28
Stavely,4.9,1934,4,17,14.5,-1.2,6.6,17
Sangudo,3,1934,4,27,14.6,-1,6.8,27
Onefour,3.9,1935,4,37,8.2,-4.7,1.7,37
Mattheis,2.3,1935,4,29,7.3,-4.8,1.2,29
Oyen,1.1,1935,4,40,6.6,-5.7,0.5,40
Twinriver,4,1935,4,37,6.2,-6.3,0,37
Kinsella,0.6,1935,4,32,5.7,-6.4,-0.4,32
Stavely,2.7,1935,4,48,5.1,-6.8,-0.8,48
Sangudo,0.7,1935,4,40,5.7,-7.7,-1,40
Onefour,4.4,1936,4,21,10.8,-3.1,3.9,21
Mattheis,2.9,1936,4,18,9.5,-3.8,2.8,18
Oyen,1.7,1936,4,17,7.8,-5.4,1.2,17
Twinriver,4.3,1936,4,17,10.1,-3.2,3.5,17
Kinsella,1,1936,4,17,7.4,-5,1.2,17
Stavely,3,1936,4,27,9.2,-3.7,2.7,27
Sangudo,1,1936,4,26,7.8,-5.4,1.2,26
Onefour,3.9,1937,4,14,13.1,0.1,6.6,14
Mattheis,2.9,1937,4,8,14.2,-0.6,6.8,8
Oyen,2.1,1937,4,9,14,-0.9,6.6,9
Twinriver,3.7,1937,4,13,11.7,-0.7,5.5,13
Kinsella,1.3,1937,4,30,13.3,-0.8,6.2,30
Stavely,2.4,1937,4,23,11.1,-2.2,4.4,23
Sangudo,1.5,1937,4,24,12.8,-1.5,5.6,24
Onefour,5.4,1938,4,13,12.3,-0.9,5.7,13
Mattheis,4.3,1938,4,20,11.2,-1.7,4.8,20
Oyen,3.6,1938,4,20,10.8,-2.1,4.4,20
Twinriver,5.2,1938,4,18,10.5,-1.6,4.5,18
Kinsella,2.9,1938,4,16,10.2,-2.7,3.7,16
Stavely,4,1938,4,24,9.2,-3.1,3.1,24
Sangudo,3.1,1938,4,14,11.4,-2.8,4.3,14
Onefour,6,1939,4,16,14.7,-1.2,6.7,16
Mattheis,4.4,1939,4,12,14,-1.8,6.1,12
Oyen,3.3,1939,4,13,13.7,-2.5,5.6,13
Twinriver,6.1,1939,4,18,13.9,-1.3,6.3,18
Kinsella,2.5,1939,4,18,12.3,-2.1,5.1,18
Stavely,4.6,1939,4,27,12.7,-2.6,5.1,27
Sangudo,3,1939,4,13,13.1,-2.9,5.1,13
Onefour,5,1940,4,65,8.2,-2.4,2.9,65
Mattheis,3.4,1940,4,57,6.8,-3.9,1.5,57
Oyen,2.4,1940,4,45,6.1,-5.1,0.5,45
Twinriver,5.2,1940,4,74,8,-2.6,2.7,74
Kinsella,1.8,1940,4,44,5.7,-4.6,0.6,44
Stavely,4,1940,4,113,6.5,-2.9,1.8,113
Sangudo,2.3,1940,4,52,7.4,-3.5,1.9,52
Onefour,6,1941,4,31,14.8,-0.6,7.1,31
Mattheis,4.7,1941,4,15,15.5,-0.5,7.5,15
Oyen,3.6,1941,4,9,14.5,-0.8,6.9,9
Twinriver,5.7,1941,4,29,13.9,-1.4,6.3,29
Kinsella,2.7,1941,4,10,13.9,-0.4,6.7,10
Stavely,4.7,1941,4,16,13.7,-2.4,5.7,16
Sangudo,3,1941,4,3,16.7,-0.5,8.1,3
Onefour,4.9,1942,4,10,15.2,-0.7,7.3,10
Mattheis,3.9,1942,4,15,13.9,-2.1,5.9,15
Oyen,3.1,1942,4,22,13,-2.4,5.3,22
Twinriver,4.9,1942,4,12,13.6,-1.3,6.2,12
Kinsella,2.3,1942,4,27,10.7,-2.8,3.9,27
Stavely,3.6,1942,4,26,11.7,-2.6,4.6,26
Sangudo,2.7,1942,4,27,11.6,-2.9,4.4,27
Onefour,5,1943,4,21,16.8,1.1,9,21
Mattheis,3.8,1943,4,15,15.2,-0.1,7.5,15
Oyen,3,1943,4,14,14.5,-0.6,6.9,14
Twinriver,4.9,1943,4,33,14.4,0.3,7.4,33
Kinsella,2.5,1943,4,15,12.4,-1,5.7,15
Stavely,3.6,1943,4,31,12.8,-1,5.9,31
Sangudo,2.7,1943,4,11,13.4,-1.9,5.8,11
Onefour,5.5,1944,4,13,15.9,-0.9,7.5,13
Mattheis,4.5,1944,4,2,16.7,-1.1,7.8,2
Oyen,3.6,1944,4,6,16.7,-1.3,7.7,6
Twinriver,5.5,1944,4,8,14.4,-1.3,6.6,8
Kinsella,3.2,1944,4,4,15.8,-0.5,7.7,4
Stavely,4.4,1944,4,30,13.3,-2.4,5.4,30
Sangudo,3.4,1944,4,17,15.7,-0.8,7.4,17
Onefour,4.2,1945,4,24,9.5,-4.2,2.7,24
Mattheis,2.7,1945,4,26,7.1,-5.2,0.9,26
Oyen,1.7,1945,4,27,6.6,-6.3,0.2,27
Twinriver,4.3,1945,4,28,6.9,-5.2,0.9,28
Kinsella,1,1945,4,30,5.9,-7,-0.6,30
Stavely,2.9,1945,4,72,4.9,-6.7,-0.9,72
Sangudo,1.2,1945,4,22,6.3,-7,-0.3,22
Onefour,5.1,1946,4,13,16.5,0.7,8.6,13
Mattheis,3.8,1946,4,10,16.2,-0.2,8,10
Oyen,2.6,1946,4,14,15.9,-0.6,7.7,14
Twinriver,5,1946,4,16,14.4,0.2,7.3,16
Kinsella,1.8,1946,4,21,14.1,-0.7,6.7,21
Stavely,3.7,1946,4,15,12.4,-1,5.7,15
Sangudo,2,1946,4,12,13.4,-1.6,5.9,12
Onefour,4.9,1947,4,19,13.2,0,6.6,19
Mattheis,3.3,1947,4,26,13,-0.8,6.1,26
Oyen,2.3,1947,4,28,11.4,-1.5,5,28
Twinriver,4.7,1947,4,16,12.3,-0.4,6,16
Kinsella,1.8,1947,4,32,9.6,-1.5,4.1,32
Stavely,3.3,1947,4,44,10.9,-1.8,4.5,44
Sangudo,2,1947,4,45,10.6,-1.5,4.5,45
Onefour,4.6,1948,4,34,11,-2.2,4.4,34
Mattheis,2.9,1948,4,35,5.4,-6.5,-0.6,35
Oyen,2.1,1948,4,58,4.2,-7.4,-1.6,58
Twinriver,4.1,1948,4,16,8.4,-4,2.2,16
Kinsella,1.5,1948,4,38,3.2,-7.9,-2.3,38
Stavely,2.4,1948,4,65,4.9,-6.8,-0.9,65
Sangudo,1.4,1948,4,76,3.2,-7.7,-2.3,76
Onefour,4.3,1949,4,6,18.1,1,9.6,6
Mattheis,3.3,1949,4,12,17.6,0.4,9,12
Oyen,2.5,1949,4,20,17.1,0.2,8.6,20
Twinriver,4.1,1949,4,10,16.3,0.7,8.5,10
Kinsella,1.7,1949,4,9,15.3,0.3,7.8,9
Stavely,2.6,1949,4,17,14,-0.8,6.6,17
Sangudo,1.9,1949,4,11,15.7,0.1,7.9,11
Onefour,2.6,1950,4,12,9.5,-2.5,3.5,12
Mattheis,1.2,1950,4,11,9.3,-2.8,3.2,11
Oyen,-0.1,1950,4,17,7.4,-3.6,1.9,17
Twinriver,3.1,1950,4,23,8.7,-2.6,3.1,23
Kinsella,-0.6,1950,4,14,6.5,-4,1.3,14
Stavely,1.5,1950,4,44,7.4,-3.9,1.8,44
Sangudo,-0.1,1950,4,18,7.7,-4,1.9,18
Onefour,2.2,1951,4,18,11,-3.9,3.6,18
Mattheis,0.9,1951,4,38,9.8,-3.7,3.1,38
Oyen,0,1951,4,35,8.3,-4.2,2,35
Twinriver,2.1,1951,4,49,10.2,-4.3,3,49
Kinsella,-0.6,1951,4,38,8.1,-3.4,2.4,38
Stavely,0.8,1951,4,81,8.7,-4.9,1.9,81
Sangudo,0,1951,4,27,9.3,-4.2,2.6,27
Onefour,4.6,1952,4,5,16.8,0.5,8.6,5
Mattheis,3.6,1952,4,4,16.3,0.7,8.5,4
Oyen,2.8,1952,4,4,15.9,0.3,8.1,4
Twinriver,5,1952,4,6,15.5,-0.4,7.5,6
Kinsella,2.3,1952,4,5,14.2,-0.2,7,5
Stavely,3.7,1952,4,19,13.3,-1.2,6.1,19
Sangudo,2.8,1952,4,3,14.4,-0.8,6.8,3
Onefour,6,1953,4,62,7.6,-3.6,2,62
Mattheis,4.4,1953,4,30,6.5,-4.2,1.2,30
Oyen,3.5,1953,4,42,6.4,-5,0.7,42
Twinriver,5.8,1953,4,56,5.9,-4.4,0.7,56
Kinsella,2.7,1953,4,38,6.1,-4.5,0.8,38
Stavely,4.3,1953,4,139,3.9,-5.2,-0.6,139
Sangudo,3.1,1953,4,29,7.5,-5.3,1.1,29
Onefour,4.7,1954,4,35,7,-5.7,0.6,35
Mattheis,3.1,1954,4,26,3.4,-7.9,-2.3,26
Oyen,2.1,1954,4,29,3.3,-9,-2.8,29
Twinriver,4.5,1954,4,29,5.1,-6.4,-0.6,29
Kinsella,1.6,1954,4,24,1.9,-9,-3.6,24
Stavely,2.8,1954,4,99,2.2,-8.7,-3.3,99
Sangudo,1.8,1954,4,21,3.1,-9.1,-3,21
Onefour,2.8,1955,4,64,10.3,-2.1,4.1,64
Mattheis,1.7,1955,4,29,10.6,-2,4.3,29
Oyen,0.8,1955,4,37,10.4,-2.1,4.1,37
Twinriver,2.8,1955,4,23,9.3,-2.6,3.4,23
Kinsella,0.4,1955,4,59,8.3,-2.1,3.1,59
Stavely,1.4,1955,4,66,7.3,-3.5,1.9,66
Sangudo,0.7,1955,4,54,8.9,-3,3,54
Onefour,4.2,1956,4,10,11.2,-4.2,3.5,10
Mattheis,2.6,1956,4,16,9.5,-4.1,2.7,16
Oyen,1.5,1956,4,8,7.3,-5.4,1,8
Twinriver,4.4,1956,4,21,9.7,-4,2.8,21
Kinsella,1.3,1956,4,10,6.1,-4.8,0.6,10
Stavely,3.1,1956,4,48,7.9,-4.5,1.7,48
Sangudo,1.6,1956,4,24,8,-4.2,1.9,24
Onefour,4.5,1957,4,26,11.6,-1.9,4.8,26
Mattheis,3.6,1957,4,31,11.7,-2.3,4.7,31
Oyen,2.6,1957,4,28,11.7,-3.3,4.2,28
Twinriver,4.4,1957,4,27,10.3,-2.5,3.9,27
Kinsella,2.1,1957,4,17,10.5,-2.6,3.9,17
Stavely,3,1957,4,57,8.8,-3.8,2.5,57
Sangudo,2.1,1957,4,20,10.9,-2.6,4.1,20
Onefour,5.3,1958,4,11,12.1,-0.6,5.8,11
Mattheis,4.2,1958,4,21,11.6,-1.4,5.1,21
Oyen,3.1,1958,4,13,11.5,-1.9,4.8,13
Twinriver,5.5,1958,4,24,10.1,-1.1,4.5,24
Kinsella,2.7,1958,4,10,10.3,-1,4.6,10
Stavely,4.3,1958,4,98,8.1,-2.2,2.9,98
Sangudo,2.8,1958,4,18,10,-1.7,4.2,18
Onefour,4.2,1959,4,28,12,-1.9,5.1,28
Mattheis,3.1,1959,4,14,12.2,-2.9,4.6,14
Oyen,2.3,1959,4,21,12.1,-3.2,4.4,21
Twinriver,4.2,1959,4,30,10.8,-2.3,4.2,30
Kinsella,1.9,1959,4,11,11.1,-2,4.6,11
Stavely,2.8,1959,4,61,9.2,-3.5,2.8,61
Sangudo,1.9,1959,4,24,11.3,-3.1,4.1,24
Onefour,4.7,1960,4,46,11.8,-1.5,5.1,46
Mattheis,3.6,1960,4,29,12.2,-1.8,5.2,29
Oyen,2.8,1960,4,27,11.8,-2.2,4.8,27
Twinriver,4.9,1960,4,42,10.4,-2.2,4.1,42
Kinsella,2,1960,4,12,10.7,-1.6,4.5,12
Stavely,3.7,1960,4,67,9.4,-3,3.2,67
Sangudo,2.5,1960,4,13,12.3,-2.2,5,13
Onefour,5.9,1961,4,17,10.7,-3.7,3.5,17
Mattheis,4.3,1961,4,17,10.7,-4,3.3,17
Oyen,3,1961,4,18,9.7,-4.6,2.6,18
Twinriver,5.8,1961,4,19,9.2,-3.7,2.7,19
Kinsella,2.2,1961,4,23,7.9,-4.3,1.8,23
Stavely,4.3,1961,4,59,7.5,-4,1.8,59
Sangudo,2.5,1961,4,33,9.6,-3.9,2.8,33
Onefour,5.6,1962,4,9,16.4,-0.2,8.1,9
Mattheis,4.2,1962,4,7,15.7,-0.7,7.5,7
Oyen,3,1962,4,5,14.2,-1.1,6.5,5
Twinriver,5.4,1962,4,14,15.1,-0.2,7.4,14
Kinsella,2.1,1962,4,12,10.7,-1.8,4.5,12
Stavely,3.8,1962,4,15,12.9,-1.5,5.7,15
Sangudo,2.2,1962,4,37,10.9,-1.8,4.6,37
Onefour,6.2,1963,4,17,12.9,-1,6,17
Mattheis,4.9,1963,4,8,12.6,-1.6,5.5,8
Oyen,3.8,1963,4,24,11.8,-2,4.9,24
Twinriver,6,1963,4,11,11.4,-1.8,4.8,11
Kinsella,3,1963,4,29,9.9,-2.1,3.9,29
Stavely,4.5,1963,4,32,9.9,-2.2,3.9,32
