site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Stavely,3.1,1914,1,40,-2.3,-13.4,-7.8,40
Sangudo,1.8,1914,1,23,-8,-19.9,-13.9,23
Onefour,4.9,1915,1,15,-5.2,-16.9,-11.1,15
Mattheis,4,1915,1,10,-7.7,-18.4,-13,10
Oyen,2.9,1915,1,6,-8.5,-18.9,-13.7,6
Twinriver,5,1915,1,9,-0.9,-13.2,-7,9
Kinsella,2.4,1915,1,10,-9.2,-19.9,-14.6,10
Stavely,3.9,1915,1,26,-1.4,-13.6,-7.5,26
Sangudo,2.9,1915,1,23,-5.5,-18.6,-12,23
Onefour,2.3,1916,1,32,-18.8,-31.3,-25.1,32
Mattheis,1.7,1916,1,17,-21,-32,-26.5,17
Oyen,0.7,1916,1,18,-19.8,-30.9,-25.4,18
Twinriver,2.2,1916,1,19,-15.6,-28.8,-22.2,19
Kinsella,0,1916,1,21,-22,-31.9,-27,21
Stavely,1.1,1916,1,33,-18.1,-29,-23.5,33
Sangudo,0.5,1916,1,26,-19.9,-32.4,-26.1,26
Onefour,3.2,1917,1,17,-6.5,-19.9,-13.2,17
Mattheis,2.1,1917,1,10,-9.8,-22.1,-16,10
Oyen,1,1917,1,10,-9.9,-22.5,-16.2,10
Twinriver,3.3,1917,1,11,-3.6,-15.7,-9.7,11
Kinsella,0.1,1917,1,30,-11.7,-24.1,-17.9,30
Stavely,2,1917,1,21,-4.8,-16.8,-10.8,21
Sangudo,0.4,1917,1,40,-10.3,-22.8,-16.5,40
Onefour,5,1918,1,36,-8.7,-18.7,-13.7,36
Mattheis,3.6,1918,1,22,-10.1,-21,-15.5,22
Oyen,2.5,1918,1,16,-11.4,-21.7,-16.5,16
Twinriver,4.8,1918,1,23,-4.3,-14.9,-9.6,23
Kinsella,1.8,1918,1,23,-12.4,-23.1,-17.7,23
Stavely,3.6,1918,1,22,-3.5,-15.4,-9.5,22
Sangudo,2,1918,1,25,-8.9,-20.9,-14.9,25
Onefour,4.3,1919,1,8,3.8,-8.5,-2.4,8
Mattheis,2.6,1919,1,8,0.1,-10.9,-5.4,8
Oyen,1.5,1919,1,8,-0.4,-11.8,-6.1,8
Twinriver,4,1919,1,5,5.7,-5.8,-0.1,5
Kinsella,0.7,1919,1,13,-2.3,-13.7,-8,13
Stavely,2.6,1919,1,17,4.3,-7,-1.4,17
Sangudo,0.9,1919,1,19,-0.3,-13,-6.6,19
Onefour,4.8,1920,1,32,-5.4,-17.8,-11.6,32
Mattheis,3.2,1920,1,19,-10.3,-21.2,-15.8,19
Oyen,2.3,1920,1,12,-11,-21.1,-16.1,12
Twinriver,4.4,1920,1,21,-2,-14.6,-8.3,21
Kinsella,1.2,1920,1,34,-12.7,-23.9,-18.3,34
Stavely,2.8,1920,1,48,-3.6,-16.4,-10,48
Sangudo,1.7,1920,1,43,-10.4,-22.4,-16.4,43
Onefour,5.3,1921,1,7,-0.7,-13,-6.9,7
Mattheis,3.4,1921,1,13,-5.6,-17.9,-11.7,13
Oyen,2.4,1921,1,7,-5.9,-17.8,-11.8,7
Twinriver,4.8,1921,1,8,1.5,-10.4,-4.5,8
Kinsella,1.4,1921,1,13,-8.8,-20,-14.4,13
Stavely,3.2,1921,1,37,-0.6,-12.7,-6.7,37
Sangudo,2.2,1921,1,20,-7.6,-19.1,-13.3,20
Onefour,3.7,1922,1,16,-5.9,-17.1,-11.5,16
Mattheis,2.7,1922,1,11,-8,-19.2,-13.6,11
Oyen,2,1922,1,9,-8.4,-19.4,-13.9,9
Twinriver,3.6,1922,1,9,-3.7,-14.4,-9,9
Kinsella,1.1,1922,1,16,-9.5,-21.1,-15.3,16
Stavely,2.2,1922,1,12,-4.7,-16,-10.3,12
Sangudo,1.6,1922,1,28,-5.9,-17.5,-11.7,28
Onefour,5,1923,1,16,-3.4,-15.1,-9.2,16
Mattheis,4.3,1923,1,11,-6.9,-18.2,-12.6,11
Oyen,3.3,1923,1,9,-7.8,-18.5,-13.2,9
Twinriver,5,1923,1,10,0.2,-11.7,-5.7,10
Kinsella,2.3,1923,1,18,-10.1,-20.8,-15.4,18
Stavely,3.5,1923,1,28,-1.8,-13.7,-7.8,28
Sangudo,2.8,1923,1,17,-8.4,-19.7,-14.1,17
Onefour,4,1924,1,15,-7.8,-20.2,-14,15
Mattheis,3.3,1924,1,12,-9.9,-20.9,-15.4,12
Oyen,2.4,1924,1,9,-10.3,-20.3,-15.3,9
Twinriver,3.9,1924,1,11,-3.1,-15.3,-9.2,11
Kinsella,1.3,1924,1,19,-10.8,-22.1,-16.5,19
Stavely,2.6,1924,1,29,-4.6,-16.7,-10.6,29
Sangudo,1.7,1924,1,30,-8.4,-20.9,-14.6,30
Onefour,5,1925,1,13,-5.1,-16.1,-10.6,13
Mattheis,3.5,1925,1,10,-9.1,-20.1,-14.6,10
Oyen,2.6,1925,1,7,-9.7,-19.7,-14.7,7
Twinriver,4.9,1925,1,6,-1.9,-13.2,-7.6,6
Kinsella,1.6,1925,1,18,-11.2,-22,-16.6,18
Stavely,3.5,1925,1,21,-3.2,-14.5,-8.9,21
Sangudo,1.9,1925,1,17,-10.5,-21.5,-16,17
Onefour,5.6,1926,1,10,0.3,-11.3,-5.5,10
Mattheis,4.1,1926,1,15,-2,-13.3,-7.7,15
Oyen,2.8,1926,1,19,-2.4,-12.9,-7.7,19
Twinriver,5.6,1926,1,2,4.2,-7.9,-1.8,2
Kinsella,1.9,1926,1,17,-3.2,-13.9,-8.5,17
Stavely,4,1926,1,15,2.6,-9.9,-3.6,15
Sangudo,2.9,1926,1,20,-0.6,-12.2,-6.4,20
Onefour,2.7,1927,1,15,-5.4,-17.3,-11.3,15
Mattheis,1.6,1927,1,5,-8.4,-18.5,-13.5,5
Oyen,0.8,1927,1,5,-8.9,-19.5,-14.2,5
Twinriver,2.7,1927,1,18,-2.5,-13.8,-8.2,18
Kinsella,-0.1,1927,1,9,-10.7,-21.7,-16.2,9
Stavely,1.5,1927,1,9,-3.7,-14.9,-9.3,9
Sangudo,0.2,1927,1,17,-7.8,-20.3,-14,17
Onefour,5,1928,1,5,-1.9,-14.3,-8.1,5
Mattheis,4.7,1928,1,5,-4.4,-16.3,-10.4,5
Oyen,3.5,1928,1,6,-5.2,-16.9,-11.1,6
Twinriver,5,1928,1,15,1.2,-10.1,-4.5,15
Kinsella,2.8,1928,1,3,-5.7,-16.7,-11.2,3
Stavely,4,1928,1,18,0,-11.9,-6,18
Sangudo,3,1928,1,7,-3.4,-15.7,-9.6,7
Onefour,3.4,1929,1,17,-11.8,-23.5,-17.7,17
Mattheis,3,1929,1,14,-14,-24.8,-19.4,14
Oyen,2,1929,1,13,-14.7,-25.4,-20,13
